Name,Area,Current Year,Crop Year,Crop Type,Tillage Type,Biomass Coefficient Product,Biomass Coefficient Straw,Biomass Coefficient Roots,Biomass Coefficient Extraroot,Nitrogen Content In Product,Nitrogen Content In Straw,Nitrogen Content In Roots,Nitrogen Content In Extraroot,Nitrogen Fixation,Nitrogen Deposit,Carbon Concentration,Yield,Harvest Method,Nitrogen Fertilizer Rate,Phosphorous Fertilizer Rate,Is Irrigated,Irrigation Type,Amount Of Irrigation,Moisture Content Of Crop,Moisture Content Of Crop Percentage,PercentageOfStrawReturnedToSoil,PercentageOfRootsReturnedToSoil,PercentageOfProductYieldReturnedToSoil,Is Pesticide Used,Number Of Pesticide Passes,Fuel Energy,Herbicide Energy,Fertilizer Blend,January Precipitation,February Precipitation,March Precipitation,April Precipitation,May Precipitation,June Precipitation,July Precipitation,August Precipitation,September Precipitation,October Precipitation,November Precipitation,December Precipitation,January Potential Evapotranspiration,February Potential Evapotranspiration,March Potential Evapotranspiration,April Potential Evapotranspiration,May Potential Evapotranspiration,June Potential Evapotranspiration,July Potential Evapotranspiration,August Potential Evapotranspiration,September Potential Evapotranspiration,October Potential Evapotranspiration,November Potential Evapotranspiration,December Potential Evapotranspiration,January Mean Temperature,February Mean Temperature,March Mean Temperature,April Mean Temperature,May Mean Temperature,June Mean Temperature,July Mean Temperature,August Mean Temperature,September Mean Temperature,October Mean Temperature,November Mean Temperature,December Mean Temperature,Province,Soil Great Group,Soil functional category,Bulk Density,Soil Texture,Soil Ph,Top Layer Thickness  (mm),Proportion Of Sand In Soil,Proportion Of Clay In Soil,Proportion Of Soil Organic Carbon,Change in soil carbon (delta_C_t) (kg C ha^-1),N2O Direct (kg N2O (ha)^-1),N2O Direct (Excluding Any Manure Not Applied) (kg N2O (ha)^-1),N2O Indirect (kg N2O (ha)^-1),N2O Indirect (Excluding Any Manure Not Applied) (kg N2O (ha)^-1),Energy CO2 (kg),Upstream CO2 (kg),Total_GHG
Farm27,0.535,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,0,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,66.661,0,160.09
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,5.29,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.816,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.897,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,0,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,111.7662,0,160.09
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.752,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.718,2025,2023,SugarBeets,Reduced,0.626,0.357,0.01,0.007,0.01,0.029,0.01,0.01,0,5,0.45,400,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,0,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-3656.7171,3.8041,3.8041,1.25,1.25,89.4628,0,14912.332
Farm27,0.718,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,81.2,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0944,0.0944,0.0357,0.0357,89.4628,0,160.1173
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.424,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.132,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,0,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,16.4472,0,160.09
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,6.031,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.535,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,0,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,66.661,0,160.09
Farm27,0.535,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,0,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,66.661,0,160.09
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,6.667,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.516,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,152.32,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0945,0.0945,0.0357,0.0357,64.2936,0,160.1446
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.051,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,6.844,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.37,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.688,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,1.422,2025,2022,Potatoes,Reduced,0.736,0.239,0.015,0.01,0.015,0.02,0.01,0.01,0,5,0.45,772.8,CashCrop,0,0,No,RainFed,0,0.75,75,100,100,0,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1346.5797,1.046,1.046,0.3472,0.3472,177.1812,0,5442.4025
Farm27,1.422,2025,2024,SugarBeets,Reduced,0.626,0.357,0.01,0.007,0.01,0.029,0.01,0.01,0,5,0.45,160,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,0,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-3670.6493,3.8041,3.8041,1.25,1.25,177.1812,0,14963.41673
Farm27,1.422,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,1003.25,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0957,0.0957,0.0361,0.0361,177.1812,0,160.5814
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,73.2,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1806.433,0.6152,0.6152,0.2061,0.2061,2.1282,0,6972.40444
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,5.647,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2025,Soybeans,Reduced,0.304,0.455,0.146,0.095,0.067,0.006,0.01,0.01,0.7,5,0.45,219.6,CashCrop,0,0,No,RainFed,0,0.14,14,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-1546.3701,0.6152,0.6152,0.2061,0.2061,2.1282,0,6018.840474
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.301,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,2.15,2025,2022,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,2327.893333,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0977,0.0977,0.0367,0.0367,267.89,0,161.2912
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,1.666,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,3.3,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
Farm27,0.01708,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,5.6,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,284.15,113.87,181.73,183.62,182.58,122.59,45.15,30.03,25.51,159.29,161.07,282.72,2.7508,4.0598,14.6639,27.3726,54.9976,88.7844,126.1289,119.9943,79.7894,47.9274,3.306,1.4211,-0.0213,-0.6364,2.2497,3.4883,7.4755,13.1317,17.7619,18.9797,14.675,11.2881,-0.2497,-3.3394,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,0,0.0943,0.0943,0.0357,0.0357,2.1282,0,160.0918735
